Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,NIFTY,37795,OPTIDX,CE,23000,NIFTY,NIFTY 24th DEC 23000 CE,NIFTY24DEC25C23000,2025-12-24,75,0.05
NFO,nse_fo,NIFTY,37796,OPTIDX,PE,23000,NIFTY,NIFTY 24th DEC 23000 PE,NIFTY24DEC25P23000,2025-12-24,75,0.05
NFO,nse_fo,NIFTY,37797,OPTIDX,PE,13000,NIFTY,NIFTY 24th DEC 13000 PE,NIFTY24DEC25P13000,2025-12-24,75,0.05
NFO,nse_fo,NIFTY,37799,OPTIDX,CE,23000,NIFTY,NIFTY 25th JUN26 23000 CE,NIFTY25JUN26C23000,2026-06-25,75,0.05
NFO,nse_fo,NIFTY,37802,OPTIDX,PE,13000,NIFTY,NIFTY 25th JUN26 13000 PE,NIFTY25JUN26P13000,2026-06-25,75,0.05
NFO,nse_fo,NIFTY,37805,OPTIDX,PE,23000,NIFTY,NIFTY 25th JUN26 23000 PE,NIFTY25JUN26P23000,2026-06-25,75,0.05
NFO,nse_fo,NIFTY,37806,OPTIDX,CE,23000,NIFTY,NIFTY 31st DEC26 23000 CE,NIFTY31DEC26C23000,2026-12-31,75,0.05
NFO,nse_fo,NIFTY,37810,OPTIDX,PE,23000,NIFTY,NIFTY 31st DEC26 23000 PE,NIFTY31DEC26P23000,2026-12-31,75,0.05
NFO,nse_fo,JUBLFOOD,37877,OPTSTK,CE,820,JUBILANT FOODWORKS LTD,JUBLFOOD MAY 820 CE,JUBLFOOD29MAY25C820,2025-05-29,1250,0.05
NFO,nse_fo,INDUSINDBK,37896,OPTSTK,CE,910,INDUSIND BANK LIMITED,INDUSINDBK MAY 910 CE,INDUSINDBK29MAY25C910,2025-05-29,500,0.05
NFO,nse_fo,JUBLFOOD,37897,OPTSTK,PE,820,JUBILANT FOODWORKS LTD,JUBLFOOD MAY 820 PE,JUBLFOOD29MAY25P820,2025-05-29,1250,0.05
NFO,nse_fo,INDUSINDBK,37899,OPTSTK,PE,910,INDUSIND BANK LIMITED,INDUSINDBK MAY 910 PE,INDUSINDBK29MAY25P910,2025-05-29,500,0.05
NFO,nse_fo,INDUSTOWER,37911,OPTSTK,CE,450,INDUS TOWERS LIMITED,INDUSTOWER JUN 450 CE,INDUSTOWER26JUN25C450,2025-06-26,1700,0.05
NFO,nse_fo,INDUSTOWER,37913,OPTSTK,PE,450,INDUS TOWERS LIMITED,INDUSTOWER JUN 450 PE,INDUSTOWER26JUN25P450,2025-06-26,1700,0.05
NFO,nse_fo,LT,37979,OPTSTK,PE,2700,LARSEN & TOUBRO LTD.,LT MAY 2700 PE,LT29MAY25P2700,2025-05-29,150,0.05
NFO,nse_fo,MRF,38016,OPTSTK,CE,131500,MRF LTD,MRF MAY 131500 CE,MRF29MAY25C131500,2025-05-29,5,0.05
NFO,nse_fo,MRF,38018,OPTSTK,PE,131500,MRF LTD,MRF MAY 131500 PE,MRF29MAY25P131500,2025-05-29,5,0.05
NFO,nse_fo,MRF,38019,OPTSTK,CE,132500,MRF LTD,MRF MAY 132500 CE,MRF29MAY25C132500,2025-05-29,5,0.05
NFO,nse_fo,MRF,38020,OPTSTK,PE,132500,MRF LTD,MRF MAY 132500 PE,MRF29MAY25P132500,2025-05-29,5,0.05
NFO,nse_fo,NBCC,38034,OPTSTK,CE,107,NBCC (INDIA) LIMITED,NBCC MAY 107 CE,NBCC29MAY25C107,2025-05-29,5800,0.05
NFO,nse_fo,NBCC,38035,OPTSTK,PE,107,NBCC (INDIA) LIMITED,NBCC MAY 107 PE,NBCC29MAY25P107,2025-05-29,5800,0.05
NFO,nse_fo,PNBHOUSING,38100,OPTSTK,CE,1140,PNB HOUSING FIN LTD.,PNBHOUSING MAY 1140 CE,PNBHOUSING29MAY25C1140,2025-05-29,650,0.05
NFO,nse_fo,PNBHOUSING,38101,OPTSTK,PE,1140,PNB HOUSING FIN LTD.,PNBHOUSING MAY 1140 PE,PNBHOUSING29MAY25P1140,2025-05-29,650,0.05
NFO,nse_fo,NIFTY,38150,OPTIDX,CE,29000,NIFTY,NIFTY JUN 29000 CE,NIFTY26JUN25C29000,2025-06-26,75,0.05
NFO,nse_fo,NIFTY,38151,OPTIDX,PE,29000,NIFTY,NIFTY JUN 29000 PE,NIFTY26JUN25P29000,2025-06-26,75,0.05
NFO,nse_fo,NIFTY,38152,OPTIDX,CE,29000,NIFTY,NIFTY 24th DEC 29000 CE,NIFTY24DEC25C29000,2025-12-24,75,0.05
NFO,nse_fo,NIFTY,38153,OPTIDX,PE,29000,NIFTY,NIFTY 24th DEC 29000 PE,NIFTY24DEC25P29000,2025-12-24,75,0.05
NFO,nse_fo,NIFTY,38154,OPTIDX,CE,29000,NIFTY,NIFTY 25th JUN26 29000 CE,NIFTY25JUN26C29000,2026-06-25,75,0.05
NFO,nse_fo,NIFTY,38157,OPTIDX,PE,29000,NIFTY,NIFTY 25th JUN26 29000 PE,NIFTY25JUN26P29000,2026-06-25,75,0.05
NFO,nse_fo,NIFTY,38158,OPTIDX,CE,29000,NIFTY,NIFTY 31st DEC26 29000 CE,NIFTY31DEC26C29000,2026-12-31,75,0.05
NFO,nse_fo,NIFTY,38159,OPTIDX,PE,29000,NIFTY,NIFTY 31st DEC26 29000 PE,NIFTY31DEC26P29000,2026-12-31,75,0.05
NFO,nse_fo,NIFTY,38160,OPTIDX,CE,29000,NIFTY,NIFTY 24th JUN27 29000 CE,NIFTY24JUN27C29000,2027-06-24,75,0.05
NFO,nse_fo,NIFTY,38163,OPTIDX,PE,29000,NIFTY,NIFTY 24th JUN27 29000 PE,NIFTY24JUN27P29000,2027-06-24,75,0.05
NFO,nse_fo,NIFTY,38164,OPTIDX,CE,29000,NIFTY,NIFTY 30th DEC27 29000 CE,NIFTY30DEC27C29000,2027-12-30,75,0.05
NFO,nse_fo,NIFTY,38165,OPTIDX,PE,29000,NIFTY,NIFTY 30th DEC27 29000 PE,NIFTY30DEC27P29000,2027-12-30,75,0.05
NFO,nse_fo,TCS,38213,OPTSTK,PE,2820,TATA CONSULTANCY SERV LT,TCS MAY 2820 PE,TCS29MAY25P2820,2025-05-29,175,0.05
NFO,nse_fo,LTF,38224,OPTSTK,CE,185,L&T FINANCE LIMITED,LTF MAY 185 CE,LTF29MAY25C185,2025-05-29,4462,0.05
NFO,nse_fo,LTF,38225,OPTSTK,PE,185,L&T FINANCE LIMITED,LTF MAY 185 PE,LTF29MAY25P185,2025-05-29,4462,0.05
NFO,nse_fo,LTF,38228,OPTSTK,CE,200,L&T FINANCE LIMITED,LTF MAY 200 CE,LTF29MAY25C200,2025-05-29,4462,0.05
NFO,nse_fo,LTF,38229,OPTSTK,PE,200,L&T FINANCE LIMITED,LTF MAY 200 PE,LTF29MAY25P200,2025-05-29,4462,0.05
NFO,nse_fo,ETERNAL,38282,OPTSTK,CE,265,ETERNAL LIMITED,ETERNAL MAY 265 CE,ETERNAL29MAY25C265,2025-05-29,2000,0.05
NFO,nse_fo,ETERNAL,38283,OPTSTK,PE,265,ETERNAL LIMITED,ETERNAL MAY 265 PE,ETERNAL29MAY25P265,2025-05-29,2000,0.05
NFO,nse_fo,NIFTY,38373,OPTIDX,CE,20000,NIFTY,NIFTY JUN 20000 CE,NIFTY26JUN25C20000,2025-06-26,75,0.05
